root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.591329 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6652:6688, ack 1, win 501, length 36
20:32:01.591359 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6688:6836, ack 1, win 501, length 148
20:32:01.591390 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6836:6872, ack 1, win 501, length 36
20:32:01.591421 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6872:7020, ack 1, win 501, length 148
20:32:01.591453 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7020:7056, ack 1, win 501, length 36
20:32:01.591486 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7056:7204, ack 1, win 501, length 148
20:32:01.591513 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7204:7240, ack 1, win 501, length 36
20:32:01.591547 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7240:7388, ack 1, win 501, length 148
20:32:01.591573 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7388:7424, ack 1, win 501, length 36
20:32:01.591604 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7424:7556, ack 1, win 501, length 132
20:32:01.591634 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7556:7592, ack 1, win 501, length 36
20:32:01.591666 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7592:7740, ack 1, win 501, length 148
20:32:01.591695 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7740:7776, ack 1, win 501, length 36
20:32:01.591727 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7776:7924, ack 1, win 501, length 148
20:32:01.591756 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7924:7960, ack 1, win 501, length 36
20:32:01.591789 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 7960:8108, ack 1, win 501, length 148
20:32:01.591827 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8108:8144, ack 1, win 501, length 36
20:32:01.591854 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8144:8292, ack 1, win 501, length 148
20:32:01.591882 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8292:8328, ack 1, win 501, length 36
20:32:01.591914 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8328:8476, ack 1, win 501, length 148
20:32:01.591947 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8476:8512, ack 1, win 501, length 36
20:32:01.591986 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8512:8660, ack 1, win 501, length 148
20:32:01.592021 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8660:8696, ack 1, win 501, length 36
20:32:01.592064 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8696:8844, ack 1, win 501, length 148
20:32:01.592097 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8844:8880, ack 1, win 501, length 36
20:32:01.592127 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 8880:9028, ack 1, win 501, length 148
20:32:01.592157 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 9028:9064, ack 1, win 501, length 36
20:32:01.592194 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 9064:9212, ack 1, win 501, length 148
20:32:01.592516 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 9212:10500, ack 1, win 501, length 1288
20:32:01.592548 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 10500:10536, ack 1, win 501, length 36
20:32:01.592566 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 10536:10684, ack 1, win 501, length 148
20:32:01.592593 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 10684:10720, ack 1, win 501, length 36
20:32:01.592634 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 10720:10868, ack 1, win 501, length 148
20:32:01.594472 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 8696, win 512, length 0
20:32:01.594536 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 10868:13688, ack 1, win 501, length 2820
20:32:01.594602 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 10536, win 512, length 0
20:32:01.594674 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 13688:13820, ack 1, win 501, length 132
20:32:01.594752 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 13820:14012, ack 1, win 501, length 192
20:32:01.594793 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14012:14048, ack 1, win 501, length 36
20:32:01.594832 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14048:14188, ack 1, win 501, length 140
20:32:01.594884 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14188:14224, ack 1, win 501, length 36
20:32:01.594923 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14224:14380, ack 1, win 501, length 156
20:32:01.594958 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14380:14416, ack 1, win 501, length 36
20:32:01.595015 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14416:14572, ack 1, win 501, length 156
20:32:01.595049 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14572:14608, ack 1, win 501, length 36
20:32:01.595088 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14608:14756, ack 1, win 501, length 148
20:32:01.595125 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14756:14792, ack 1, win 501, length 36
20:32:01.595164 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14792:14948, ack 1, win 501, length 156
20:32:01.595227 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14948:14984, ack 1, win 501, length 36
20:32:01.595250 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 14984:15132, ack 1, win 501, length 148
20:32:01.595285 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 15132:15168, ack 1, win 501, length 36
20:32:01.595386 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 15168:15324, ack 1, win 501, length 156
20:32:01.595450 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 15324:15508, ack 1, win 501, length 184
20:32:01.595836 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 15508:17204, ack 1, win 501, length 1696
20:32:01.596107 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 10868, win 511, length 0
20:32:01.596123 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 17204:17624, ack 1, win 501, length 420
20:32:01.596184 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 17624:17764, ack 1, win 501, length 140
20:32:01.596218 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 17764:17800, ack 1, win 501, length 36
20:32:01.596258 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 17800:17956, ack 1, win 501, length 156
20:32:01.596293 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 17956:17992, ack 1, win 501, length 36
20:32:01.596333 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 17992:18148, ack 1, win 501, length 156
20:32:01.596371 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18148:18184, ack 1, win 501, length 36
20:32:01.596409 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18184:18332, ack 1, win 501, length 148
20:32:01.596442 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18332:18368, ack 1, win 501, length 36
20:32:01.596482 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18368:18524, ack 1, win 501, length 156
20:32:01.596515 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18524:18560, ack 1, win 501, length 36
20:32:01.596554 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18560:18708, ack 1, win 501, length 148
20:32:01.596587 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18708:18744, ack 1, win 501, length 36
20:32:01.596628 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18744:18900, ack 1, win 501, length 156
20:32:01.596676 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18900:18936, ack 1, win 501, length 36
20:32:01.596705 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 18936:19084, ack 1, win 501, length 148
20:32:01.596739 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 19084:19120, ack 1, win 501, length 36
20:32:01.596778 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 19120:19276, ack 1, win 501, length 156
20:32:01.597053 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 19276:20760, ack 1, win 501, length 1484
20:32:01.597254 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 20760:20916, ack 1, win 501, length 156
20:32:01.597375 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 20916:21072, ack 1, win 501, length 156
20:32:01.597450 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 21072:21228, ack 1, win 501, length 156
20:32:01.597517 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 21228:21384, ack 1, win 501, length 156
20:32:01.597570 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 21384:21540, ack 1, win 501, length 156
20:32:01.597615 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 21540:21696, ack 1, win 501, length 156
20:32:01.597717 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 21696:21852, ack 1, win 501, length 156
20:32:01.598477 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 14224, win 512, length 0
20:32:01.598477 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 15168, win 509, length 0
20:32:01.598524 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 21852:22008, ack 1, win 501, length 156
20:32:01.598668 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 22008:22148, ack 1, win 501, length 140
20:32:01.598755 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 22148:22520, ack 1, win 501, length 372
20:32:01.598811 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 22520:22676, ack 1, win 501, length 156
20:32:01.598886 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 22676:22832, ack 1, win 501, length 156
20:32:01.599282 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 18744, win 512, length 0
20:32:01.599329 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 22832:22988, ack 1, win 501, length 156
20:32:01.599511 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 22988:23240, ack 1, win 501, length 252
20:32:01.599587 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 20760, win 512, length 0
20:32:01.599604 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 23240:23396, ack 1, win 501, length 156
20:32:01.599679 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 23396:23648, ack 1, win 501, length 252
20:32:01.599736 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 23648:23804, ack 1, win 501, length 156
20:32:01.599787 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 23804:23960, ack 1, win 501, length 156
20:32:01.599859 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 23960:24116, ack 1, win 501, length 156
20:32:01.599957 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 24116:24272, ack 1, win 501, length 156
20:32:01.600019 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 24272:24428, ack 1, win 501, length 156
20:32:01.600071 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 24428:24584, ack 1, win 501, length 156
20:32:01.600112 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 24584:24740, ack 1, win 501, length 156
20:32:01.600152 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 24740:24896, ack 1, win 501, length 156
20:32:01.600205 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 24896:25052, ack 1, win 501, length 156
20:32:01.600257 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 25052:25208, ack 1, win 501, length 156
20:32:01.600321 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 25208:25364, ack 1, win 501, length 156
20:32:01.600372 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 25364:25520, ack 1, win 501, length 156
20:32:01.600479 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 25520:25676, ack 1, win 501, length 156
20:32:01.600553 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 25676:25832, ack 1, win 501, length 156
20:32:01.600612 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 25832:25988, ack 1, win 501, length 156
20:32:01.601140 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 21852, win 508, length 0
20:32:01.601179 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 25988:26144, ack 1, win 501, length 156
20:32:01.601306 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 26144:26396, ack 1, win 501, length 252
20:32:01.602253 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 22832, win 512, length 0
20:32:01.602283 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 26396:26552, ack 1, win 501, length 156
20:32:01.602402 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 26552:26804, ack 1, win 501, length 252
20:32:01.602462 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 26804:26960, ack 1, win 501, length 156
20:32:01.602511 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 26960:27116, ack 1, win 501, length 156
20:32:01.602564 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 27116:27272, ack 1, win 501, length 156
20:32:01.602617 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 27272:27428, ack 1, win 501, length 156
20:32:01.602656 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 27428:27584, ack 1, win 501, length 156
20:32:01.602694 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 27584:27740, ack 1, win 501, length 156
20:32:01.602732 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 27740:27896, ack 1, win 501, length 156
20:32:01.602772 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 27896:28052, ack 1, win 501, length 156
20:32:01.602923 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 23960, win 508, length 0
20:32:01.602939 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 28052:28208, ack 1, win 501, length 156
20:32:01.603004 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 25832, win 512, length 0
20:32:01.603038 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 28208:28460, ack 1, win 501, length 252
20:32:01.603107 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 28460:28712, ack 1, win 501, length 252
20:32:01.603161 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 28712:28868, ack 1, win 501, length 156
20:32:01.603216 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 28868:29024, ack 1, win 501, length 156
20:32:01.603270 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 29024:29180, ack 1, win 501, length 156
20:32:01.603326 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 29180:29336, ack 1, win 501, length 156
20:32:01.603396 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 29336:29492, ack 1, win 501, length 156
20:32:01.603462 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 29492:29648, ack 1, win 501, length 156
20:32:01.603592 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 29648:29804, ack 1, win 501, length 156
20:32:01.603771 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 29804:29960, ack 1, win 501, length 156
20:32:01.603877 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 29960:30116, ack 1, win 501, length 156
20:32:01.603953 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 30116:30272, ack 1, win 501, length 156
20:32:01.604016 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 30272:30428, ack 1, win 501, length 156
20:32:01.604059 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 30428:30584, ack 1, win 501, length 156
20:32:01.604105 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 30584:30740, ack 1, win 501, length 156
20:32:01.604156 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 30740:30896, ack 1, win 501, length 156
20:32:01.604210 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 30896:31052, ack 1, win 501, length 156
20:32:01.604274 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 31052:31208, ack 1, win 501, length 156
20:32:01.604357 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 31208:31364, ack 1, win 501, length 156
20:32:01.604431 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 31364:31520, ack 1, win 501, length 156
20:32:01.604477 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 31520:31676, ack 1, win 501, length 156
20:32:01.604527 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 31676:31832, ack 1, win 501, length 156
20:32:01.604574 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 31832:31988, ack 1, win 501, length 156
20:32:01.604637 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 31988:32144, ack 1, win 501, length 156
20:32:01.604679 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 32144:32300, ack 1, win 501, length 156
20:32:01.604721 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 32300:32456, ack 1, win 501, length 156
20:32:01.604760 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 32456:32612, ack 1, win 501, length 156
20:32:01.604806 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 32612:32768, ack 1, win 501, length 156
20:32:01.604867 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 32768:32924, ack 1, win 501, length 156
20:32:01.604926 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 32924:33080, ack 1, win 501, length 156
20:32:01.604978 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 33080:33236, ack 1, win 501, length 156
20:32:01.605021 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 33236:33392, ack 1, win 501, length 156
20:32:01.605061 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 33392:33548, ack 1, win 501, length 156
20:32:01.605101 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 33548:33704, ack 1, win 501, length 156
20:32:01.605144 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:26804}], length 0
20:32:01.605144 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:26960}], length 0
20:32:01.605178 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:27428}], length 0
20:32:01.605192 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 26396:26552, ack 1, win 501, length 156
20:32:01.605232 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 33704:33860, ack 1, win 501, length 156
20:32:01.605243 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:28208}], length 0
20:32:01.605386 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 33860:34696, ack 1, win 501, length 836
20:32:01.605609 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 34696:34852, ack 1, win 501, length 156
20:32:01.605757 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 34852:35008, ack 1, win 501, length 156
20:32:01.605820 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 35008:35164, ack 1, win 501, length 156
20:32:01.606513 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:28712}], length 0
20:32:01.606557 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 35164:35320, ack 1, win 501, length 156
20:32:01.606582 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:28868}], length 0
20:32:01.606704 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 35320:35756, ack 1, win 501, length 436
20:32:01.607317 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:29960}], length 0
