root@comp3134-winter2023:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:36.070942 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 148262244:148262352, ack 3544080981, win 501, length 108
20:32:36.077445 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 3500:3536, ack 1, win 501, length 36
20:32:36.077484 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 3536:3692, ack 1, win 501, length 156
20:32:36.077602 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 1248, win 510, length 0
20:32:36.077621 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 3692:4076, ack 1, win 501, length 384
20:32:36.077682 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4076:4112, ack 1, win 501, length 36
20:32:36.077696 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4112:4268, ack 1, win 501, length 156
20:32:36.077730 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4268:4304, ack 1, win 501, length 36
20:32:36.077770 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4304:4460, ack 1, win 501, length 156
20:32:36.077804 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4460:4496, ack 1, win 501, length 36
20:32:36.077844 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4496:4636, ack 1, win 501, length 140
20:32:36.077877 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4636:4672, ack 1, win 501, length 36
20:32:36.077909 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4672:4828, ack 1, win 501, length 156
20:32:36.077937 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4828:4864, ack 1, win 501, length 36
20:32:36.077969 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 4864:5020, ack 1, win 501, length 156
20:32:36.078000 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 5020:5056, ack 1, win 501, length 36
20:32:36.079586 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 3692, win 512, length 0
20:32:36.079634 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 5056:6976, ack 1, win 501, length 1920
20:32:36.079754 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 6976:7116, ack 1, win 501, length 140
20:32:36.079828 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7116:7152, ack 1, win 501, length 36
20:32:36.079873 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7152:7308, ack 1, win 501, length 156
20:32:36.079911 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7308:7344, ack 1, win 501, length 36
20:32:36.079965 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 4864, win 508, length 0
20:32:36.079998 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7344:7500, ack 1, win 501, length 156
20:32:36.080038 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7500:7536, ack 1, win 501, length 36
20:32:36.080084 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7536:7692, ack 1, win 501, length 156
20:32:36.080125 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7692:7728, ack 1, win 501, length 36
20:32:36.080171 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7728:7884, ack 1, win 501, length 156
20:32:36.080210 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7884:7920, ack 1, win 501, length 36
20:32:36.080254 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 7920:8076, ack 1, win 501, length 156
20:32:36.080369 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8076:8112, ack 1, win 501, length 36
20:32:36.080401 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8112:8252, ack 1, win 501, length 140
20:32:36.080443 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8252:8288, ack 1, win 501, length 36
20:32:36.080487 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8288:8444, ack 1, win 501, length 156
20:32:36.080534 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8444:8480, ack 1, win 501, length 36
20:32:36.080548 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8480:8636, ack 1, win 501, length 156
20:32:36.080577 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8636:8672, ack 1, win 501, length 36
20:32:36.080608 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8672:8828, ack 1, win 501, length 156
20:32:36.080635 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8828:8864, ack 1, win 501, length 36
20:32:36.080666 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 8864:9020, ack 1, win 501, length 156
20:32:36.080699 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 9020:9056, ack 1, win 501, length 36
20:32:36.080730 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 9056:9212, ack 1, win 501, length 156
20:32:36.080776 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 9212:9404, ack 1, win 501, length 192
20:32:36.081141 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 9404:11132, ack 1, win 501, length 1728
20:32:36.082716 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 5056, win 512, length 0
20:32:36.082716 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 6976, win 512, length 0
20:32:36.082767 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 11132:12320, ack 1, win 501, length 1188
20:32:36.082925 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 12320:12460, ack 1, win 501, length 140
20:32:36.082972 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 12460:12496, ack 1, win 501, length 36
20:32:36.083015 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 12496:12636, ack 1, win 501, length 140
20:32:36.083052 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 12636:12672, ack 1, win 501, length 36
20:32:36.083096 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 12672:12828, ack 1, win 501, length 156
20:32:36.083141 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 12828:12864, ack 1, win 501, length 36
20:32:36.083181 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 12864:13020, ack 1, win 501, length 156
20:32:36.083191 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 8076, win 508, length 0
20:32:36.083233 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13020:13056, ack 1, win 501, length 36
20:32:36.083277 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13056:13212, ack 1, win 501, length 156
20:32:36.083323 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13212:13248, ack 1, win 501, length 36
20:32:36.083361 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13248:13404, ack 1, win 501, length 156
20:32:36.083397 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13404:13440, ack 1, win 501, length 36
20:32:36.083439 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13440:13596, ack 1, win 501, length 156
20:32:36.083472 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13596:13632, ack 1, win 501, length 36
20:32:36.083514 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13632:13788, ack 1, win 501, length 156
20:32:36.083549 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13788:13824, ack 1, win 501, length 36
20:32:36.083585 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 9056, win 512, length 0
20:32:36.083606 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13824:13980, ack 1, win 501, length 156
20:32:36.083642 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 13980:14016, ack 1, win 501, length 36
20:32:36.083684 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14016:14172, ack 1, win 501, length 156
20:32:36.083718 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14172:14208, ack 1, win 501, length 36
20:32:36.083759 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14208:14348, ack 1, win 501, length 140
20:32:36.083794 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14348:14384, ack 1, win 501, length 36
20:32:36.083836 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14384:14540, ack 1, win 501, length 156
20:32:36.083871 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14540:14576, ack 1, win 501, length 36
20:32:36.083912 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14576:14732, ack 1, win 501, length 156
20:32:36.083947 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14732:14768, ack 1, win 501, length 36
20:32:36.083987 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14768:14924, ack 1, win 501, length 156
20:32:36.084053 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 14924:15116, ack 1, win 501, length 192
20:32:36.084083 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15116:15152, ack 1, win 501, length 36
20:32:36.084125 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15152:15308, ack 1, win 501, length 156
20:32:36.084160 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15308:15344, ack 1, win 501, length 36
20:32:36.084202 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15344:15500, ack 1, win 501, length 156
20:32:36.084237 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15500:15536, ack 1, win 501, length 36
20:32:36.084277 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15536:15692, ack 1, win 501, length 156
20:32:36.084313 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15692:15728, ack 1, win 501, length 36
20:32:36.084355 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15728:15884, ack 1, win 501, length 156
20:32:36.084392 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15884:15920, ack 1, win 501, length 36
20:32:36.084435 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 15920:16076, ack 1, win 501, length 156
20:32:36.084470 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16076:16112, ack 1, win 501, length 36
20:32:36.084512 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16112:16252, ack 1, win 501, length 140
20:32:36.084548 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16252:16288, ack 1, win 501, length 36
20:32:36.084590 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16288:16444, ack 1, win 501, length 156
20:32:36.084628 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16444:16480, ack 1, win 501, length 36
20:32:36.084671 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16480:16636, ack 1, win 501, length 156
20:32:36.084711 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16636:16672, ack 1, win 501, length 36
20:32:36.084752 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16672:16828, ack 1, win 501, length 156
20:32:36.084794 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16828:16864, ack 1, win 501, length 36
20:32:36.086054 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 13020, win 512, length 0
20:32:36.086054 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 14348, win 512, length 0
20:32:36.086106 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 16864:21268, ack 1, win 501, length 4404
20:32:36.086264 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21268:21408, ack 1, win 501, length 140
20:32:36.086306 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21408:21444, ack 1, win 501, length 36
20:32:36.086366 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21444:21584, ack 1, win 501, length 140
20:32:36.086617 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21584:21748, ack 1, win 501, length 164
20:32:36.086684 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21748:21784, ack 1, win 501, length 36
20:32:36.086710 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21784:21940, ack 1, win 501, length 156
20:32:36.086745 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21940:21976, ack 1, win 501, length 36
20:32:36.086787 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 21976:22132, ack 1, win 501, length 156
20:32:36.086835 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22132:22168, ack 1, win 501, length 36
20:32:36.086866 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 15884, win 512, length 0
20:32:36.086911 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22168:22324, ack 1, win 501, length 156
20:32:36.086944 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22324:22360, ack 1, win 501, length 36
20:32:36.086993 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22360:22516, ack 1, win 501, length 156
20:32:36.087026 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22516:22552, ack 1, win 501, length 36
20:32:36.087057 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22552:22708, ack 1, win 501, length 156
20:32:36.087092 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22708:22744, ack 1, win 501, length 36
20:32:36.087127 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 16864, win 509, length 0
20:32:36.087151 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22744:22900, ack 1, win 501, length 156
20:32:36.087250 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 22900:23904, ack 1, win 501, length 1004
20:32:36.087321 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 23904:24540, ack 1, win 501, length 636
20:32:36.087367 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 24540:24704, ack 1, win 501, length 164
20:32:36.087407 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 24704:24868, ack 1, win 501, length 164
20:32:36.087445 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 24868:25032, ack 1, win 501, length 164
20:32:36.087483 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 25032:25196, ack 1, win 501, length 164
20:32:36.087522 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 25196:25360, ack 1, win 501, length 164
20:32:36.087561 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 25360:25524, ack 1, win 501, length 164
20:32:36.087599 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 25524:25688, ack 1, win 501, length 164
20:32:36.087727 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 25688:25852, ack 1, win 501, length 164
20:32:36.087796 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 25852:26016, ack 1, win 501, length 164
20:32:36.087854 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 26016:26180, ack 1, win 501, length 164
20:32:36.087920 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 26180:26344, ack 1, win 501, length 164
20:32:36.087960 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 26344:26508, ack 1, win 501, length 164
20:32:36.088027 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 26508:26672, ack 1, win 501, length 164
20:32:36.088086 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 26672:26836, ack 1, win 501, length 164
20:32:36.088139 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 26836:27000, ack 1, win 501, length 164
20:32:36.088385 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 27000:27164, ack 1, win 501, length 164
20:32:36.088540 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 27164:27328, ack 1, win 501, length 164
20:32:36.088608 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 27328:27492, ack 1, win 501, length 164
20:32:36.088681 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 27492:27656, ack 1, win 501, length 164
20:32:36.088743 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 27656:27820, ack 1, win 501, length 164
20:32:36.088803 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 27820:27984, ack 1, win 501, length 164
20:32:36.088861 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 27984:28148, ack 1, win 501, length 164
20:32:36.088925 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 28148:28312, ack 1, win 501, length 164
20:32:36.088984 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 28312:28476, ack 1, win 501, length 164
20:32:36.089043 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 28476:28640, ack 1, win 501, length 164
20:32:36.089103 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 28640:28804, ack 1, win 501, length 164
20:32:36.089163 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 28804:28968, ack 1, win 501, length 164
20:32:36.089221 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 28968:29132, ack 1, win 501, length 164
20:32:36.089281 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 29132:29296, ack 1, win 501, length 164
20:32:36.089341 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 29296:29460, ack 1, win 501, length 164
20:32:36.089417 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 29460:29624, ack 1, win 501, length 164
20:32:36.089482 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 29624:29788, ack 1, win 501, length 164
20:32:36.089539 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 29788:29952, ack 1, win 501, length 164
20:32:36.089594 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 29952:30116, ack 1, win 501, length 164
20:32:36.089648 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 30116:30280, ack 1, win 501, length 164
20:32:36.089701 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 30280:30444, ack 1, win 501, length 164
20:32:36.089884 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 30444:30608, ack 1, win 501, length 164
20:32:36.090881 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 21976, win 512, length 0
20:32:36.090881 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 25524, win 512, length 0
20:32:36.090881 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 26836, win 512, length 0
20:32:36.090939 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 30608:30772, ack 1, win 501, length 164
20:32:36.091150 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 30772:31256, ack 1, win 501, length 484
20:32:36.091217 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 31256:31420, ack 1, win 501, length 164
20:32:36.091269 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 31420:31584, ack 1, win 501, length 164
20:32:36.091320 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 31584:31748, ack 1, win 501, length 164
20:32:36.091389 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 31748:31912, ack 1, win 501, length 164
20:32:36.091444 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 31912:32076, ack 1, win 501, length 164
20:32:36.091517 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 32076:32240, ack 1, win 501, length 164
20:32:36.091574 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 32240:32404, ack 1, win 501, length 164
20:32:36.091626 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 32404:32568, ack 1, win 501, length 164
20:32:36.091676 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 32568:32732, ack 1, win 501, length 164
20:32:36.091726 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 32732:32896, ack 1, win 501, length 164
20:32:36.091879 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 28640, win 512, length 0
20:32:36.091897 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 32896:33060, ack 1, win 501, length 164
20:32:36.091975 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 33060:33328, ack 1, win 501, length 268
20:32:36.092036 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 33328:33492, ack 1, win 501, length 164
20:32:36.092089 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 33492:33656, ack 1, win 501, length 164
20:32:36.092204 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 33656:33820, ack 1, win 501, length 164
20:32:36.092352 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 33820:33984, ack 1, win 501, length 164
20:32:36.092545 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 33984:34148, ack 1, win 501, length 164
20:32:36.092622 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 34148:34312, ack 1, win 501, length 164
20:32:36.092751 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 34312:34476, ack 1, win 501, length 164
20:32:36.092832 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 34476:34640, ack 1, win 501, length 164
20:32:36.092888 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 34640:34804, ack 1, win 501, length 164
20:32:36.092948 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 34804:34968, ack 1, win 501, length 164
20:32:36.093016 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 34968:35132, ack 1, win 501, length 164
20:32:36.093144 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 35132:35296, ack 1, win 501, length 164
20:32:36.093192 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 35296:35460, ack 1, win 501, length 164
20:32:36.093241 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 35460:35624, ack 1, win 501, length 164
20:32:36.095530 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 30444, win 512, length 0
20:32:36.095530 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 32240, win 512, length 0
20:32:36.095530 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 33492, win 508, length 0
